max_features,ngram_range,min_df,max_df,stop_words,strip_accents,lowercase,init,n_init,max_iter,n_clusters,random_state,inertia,silhouette
100,"(1, 3)",3,0.75,english,ascii,True,k-means++,10,1000,14,100,311.2662648414659,0.07555289438981447
100,"(1, 3)",3,0.75,english,ascii,True,k-means++,10,1000,15,100,305.4062847134996,0.07639563409971441
100,"(1, 3)",3,0.75,english,ascii,True,k-means++,10,1000,16,100,305.6533122028119,0.07499565472061731
100,"(1, 3)",3,0.75,english,ascii,True,k-means++,10,1000,17,100,300.9872457146794,0.07805853379718256
100,"(1, 3)",3,0.75,english,ascii,True,k-means++,10,1000,18,100,299.5712717090827,0.07133498781596126
100,"(1, 3)",3,0.75,english,ascii,True,k-means++,10,1000,19,100,297.403324785618,0.06858416127003254
100,"(1, 3)",3,0.75,english,ascii,True,k-means++,10,1000,20,100,292.6849506504969,0.07926526334768427
100,"(1, 3)",4,0.25,english,ascii,True,k-means++,10,1000,2,100,390.6324959142235,0.033749011616777
100,"(1, 3)",4,0.25,english,ascii,True,k-means++,10,1000,3,100,381.0175314011011,0.038038230186881676
100,"(1, 3)",4,0.25,english,ascii,True,k-means++,10,1000,4,100,371.9634020482988,0.04553601674646846
100,"(1, 3)",4,0.25,english,ascii,True,k-means++,10,1000,5,100,364.64082414197253,0.05194866687992608
100,"(1, 3)",4,0.25,english,ascii,True,k-means++,10,1000,6,100,361.10463574474306,0.0485871746753761
100,"(1, 3)",4,0.25,english,ascii,True,k-means++,10,1000,7,100,353.57176082744166,0.052977284904386746
100,"(1, 3)",4,0.25,english,ascii,True,k-means++,10,1000,8,100,349.4164378826149,0.0502470404265513
100,"(1, 3)",4,0.25,english,ascii,True,k-means++,10,1000,9,100,342.49602566184274,0.05746702095654979
100,"(1, 3)",4,0.25,english,ascii,True,k-means++,10,1000,10,100,339.1109867273059,0.06064391587976838
100,"(1, 3)",4,0.25,english,ascii,True,k-means++,10,1000,11,100,331.70391567460285,0.06249503113946149
100,"(1, 3)",4,0.25,english,ascii,True,k-means++,10,1000,12,100,330.60034865107525,0.051901939180687716
100,"(1, 3)",4,0.25,english,ascii,True,k-means++,10,1000,13,100,328.80632407837527,0.04578222670392561
100,"(1, 3)",4,0.25,english,ascii,True,k-means++,10,1000,14,100,327.45494881593606,0.0666132452079346
100,"(1, 3)",4,0.25,english,ascii,True,k-means++,10,1000,15,100,320.15342264955274,0.07317014757735191
100,"(1, 3)",4,0.25,english,ascii,True,k-means++,10,1000,16,100,318.2318574710931,0.06038651684084093
100,"(1, 3)",4,0.25,english,ascii,True,k-means++,10,1000,17,100,311.67476699780093,0.05470039230489761
100,"(1, 3)",4,0.25,english,ascii,True,k-means++,10,1000,18,100,305.1778477810031,0.06929500703585166
100,"(1, 3)",4,0.25,english,ascii,True,k-means++,10,1000,19,100,310.4846233013638,0.06543666842620666
100,"(1, 3)",4,0.25,english,ascii,True,k-means++,10,1000,20,100,306.4048342559539,0.07634726380292284
100,"(1, 3)",4,0.3,english,ascii,True,k-means++,10,1000,2,100,390.6324959142235,0.033749011616777
100,"(1, 3)",4,0.3,english,ascii,True,k-means++,10,1000,3,100,381.0175314011011,0.038038230186881676
100,"(1, 3)",4,0.3,english,ascii,True,k-means++,10,1000,4,100,371.9634020482988,0.04553601674646846
100,"(1, 3)",4,0.3,english,ascii,True,k-means++,10,1000,5,100,364.64082414197253,0.05194866687992608
100,"(1, 3)",4,0.3,english,ascii,True,k-means++,10,1000,6,100,361.10463574474306,0.0485871746753761
100,"(1, 3)",4,0.3,english,ascii,True,k-means++,10,1000,7,100,353.57176082744166,0.052977284904386746
100,"(1, 3)",4,0.3,english,ascii,True,k-means++,10,1000,8,100,349.4164378826149,0.0502470404265513
100,"(1, 3)",4,0.3,english,ascii,True,k-means++,10,1000,9,100,342.49602566184274,0.05746702095654979
100,"(1, 3)",4,0.3,english,ascii,True,k-means++,10,1000,10,100,339.1109867273059,0.06064391587976838
100,"(1, 3)",4,0.3,english,ascii,True,k-means++,10,1000,11,100,331.70391567460285,0.06249503113946149
100,"(1, 3)",4,0.3,english,ascii,True,k-means++,10,1000,12,100,330.60034865107525,0.051901939180687716
100,"(1, 3)",4,0.3,english,ascii,True,k-means++,10,1000,13,100,328.80632407837527,0.04578222670392561
100,"(1, 3)",4,0.3,english,ascii,True,k-means++,10,1000,14,100,327.45494881593606,0.0666132452079346
100,"(1, 3)",4,0.3,english,ascii,True,k-means++,10,1000,15,100,320.15342264955274,0.07317014757735191
100,"(1, 3)",4,0.3,english,ascii,True,k-means++,10,1000,16,100,318.2318574710931,0.06038651684084093
100,"(1, 3)",4,0.3,english,ascii,True,k-means++,10,1000,17,100,311.67476699780093,0.05470039230489761
100,"(1, 3)",4,0.3,english,ascii,True,k-means++,10,1000,18,100,305.1778477810031,0.06929500703585166
100,"(1, 3)",4,0.3,english,ascii,True,k-means++,10,1000,19,100,310.4846233013638,0.06543666842620666
100,"(1, 3)",4,0.3,english,ascii,True,k-means++,10,1000,20,100,306.4048342559539,0.07634726380292284
100,"(1, 3)",4,0.35,english,ascii,True,k-means++,10,1000,2,100,391.93224701768355,0.03314877739609
100,"(1, 3)",4,0.35,english,ascii,True,k-means++,10,1000,3,100,383.50923894010225,0.0366693860026571
100,"(1, 3)",4,0.35,english,ascii,True,k-means++,10,1000,4,100,372.1190578538448,0.04609937237193025
